id,title,year,rating,votes,runtime,genres
0,The Shawshank Redemption,1994,9.3,3.1M,2h 22m,Epic
1,The Godfather,1972,9.2,2.1M,2h 55m,Epic
2,The Dark Knight,2008,9.0,3M,2h 32m,Action Epic
3,The Godfather Part II,1974,9.0,1.4M,3h 22m,Epic
4,De 12 gezworenen,1957,9.0,929K,1h 36m,Legal Drama
5,The Lord of the Rings: The Return of the King,2003,9.0,2.1M,3h 21m,Action Epic
6,Schindler's List,1993,9.0,1.5M,3h 15m,Docudrama
7,Pulp Fiction,1994,8.9,2.3M,2h 34m,Dark Comedy
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2.1M,2h 58m,Action Epic
9,"The Good, the Bad and the Ugly",1966,8.8,856K,2h 41m,Adventure Epic
10,Forrest Gump,1994,8.8,2.4M,2h 22m,Epic
11,The Lord of the Rings: The Two Towers,2002,8.8,1.9M,2h 59m,Action Epic
12,Fight Club,1999,8.8,2.5M,2h 19m,Psychological Drama
13,Inception,2010,8.8,2.7M,2h 28m,Action Epic
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4M,2h 4m,Action Epic
15,The Matrix,1999,8.7,2.2M,2h 16m,Action Epic
16,Goodfellas,1990,8.7,1.3M,2h 25m,Docudrama
17,Interstellar,2014,8.7,2.4M,2h 49m,Adventure Epic
18,One Flew Over the Cuckoo's Nest,1975,8.7,1.1M,2h 13m,Medical Drama
19,Seven,1995,8.6,1.9M,2h 7m,Cop Drama
20,It's a Wonderful Life,1946,8.6,529K,2h 10m,Feel-Good Romance
21,The Silence of the Lambs,1991,8.6,1.6M,1h 58m,Police Procedural
22,Shichinin no samurai,1954,8.6,386K,3h 27m,Action Epic
23,Saving Private Ryan,1998,8.6,1.6M,2h 49m,Epic
24,Cidade de Deus,2002,8.6,839K,2h 10m,Caper
25,The Green Mile,1999,8.6,1.5M,3h 9m,Period Drama
26,Het leven is mooi,1997,8.6,780K,1h 56m,Period Drama
27,Terminator 2: Judgment Day,1991,8.6,1.2M,2h 17m,Action Epic
28,Star Wars: Episode IV: A New Hope,1977,8.6,1.5M,2h 1m,Action Epic
29,Back to the Future,1985,8.5,1.4M,1h 56m,High-Concept Comedy
30,Spirited Away: De reis van Chihiro,2001,8.6,913K,2h 4m,Anime
31,The Pianist,2002,8.5,970K,2h 30m,Docudrama
32,Gladiator,2000,8.5,1.8M,2h 35m,Action Epic
33,Gisaengchung,2019,8.5,1.1M,2h 12m,Dark Comedy
34,Psycho,1960,8.5,754K,1h 49m,Dark Comedy
35,The Lion King,1994,8.5,1.2M,1h 28m,Animal Adventure
36,Grave of the Fireflies,1988,8.5,351K,1h 28m,Adult Animation
37,The Departed,2006,8.5,1.5M,2h 31m,Cop Drama
38,Whiplash,2014,8.5,1.1M,1h 46m,Psychological Drama
39,Seppuku,1962,8.6,80K,2h 13m,Period Drama
40,The Prestige,2006,8.5,1.5M,2h 10m,Period Drama
41,American History X,1998,8.5,1.2M,1h 59m,Prison Drama
42,Léon,1994,8.5,1.3M,1h 50m,Gangster
43,Spider-Man: Across the Spider-Verse,2023,8.5,459K,2h 20m,Computer Animation
44,Casablanca,1942,8.5,633K,1h 42m,Psychological Drama
45,The Usual Suspects,1995,8.5,1.2M,1h 46m,Caper
46,Intouchables,2011,8.5,981K,1h 52m,Docudrama
47,Cinema Paradiso,1988,8.5,302K,2h 54m,Coming-of-Age
48,Alien,1979,8.5,1M,1h 57m,Alien Invasion
49,Modern Times,1936,8.5,274K,1h 27m,Romantic Comedy
50,Rear Window,1954,8.5,548K,1h 52m,Psychological Thriller
51,Once Upon a Time in the West,1968,8.5,369K,2h 46m,Desert Adventure
52,Django Unchained,2012,8.5,1.8M,2h 45m,Dark Comedy
53,City Lights,1931,8.5,207K,1h 27m,Feel-Good Romance
54,Apocalypse Now,1979,8.4,744K,2h 27m,Adventure Epic
55,Dune: Part Two,2024,8.5,636K,2h 46m,Action Epic
56,WALL-E,2008,8.4,1.3M,1h 38m,Adventure Epic
57,Memento,2000,8.4,1.4M,1h 53m,Psychological Thriller
58,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,1.1M,1h 55m,Adventure Epic
59,Das Leben der Anderen,2006,8.4,428K,2h 17m,Political Thriller
60,Avengers: Infinity War,2018,8.4,1.3M,2h 29m,Space Sci-Fi
61,Sunset Boulevard,1950,8.4,249K,1h 50m,Dark Comedy
