,id,title,year,rating,votes,runtime,genres,decade
0,0,The Shawshank Redemption,1994,9.3,3100000,0 days 02:22:00,Epic,1990-e
1,1,The Godfather,1972,9.2,2100000,0 days 02:55:00,Epic,1970-e
2,2,The Dark Knight,2008,9.0,3000000,0 days 02:32:00,Action Epic,2000-e
3,3,The Godfather Part II,1974,9.0,1400000,0 days 03:22:00,Epic,1970-e
4,4,De 12 gezworenen,1957,9.0,929000,0 days 01:36:00,Legal Drama,1950-e
5,5,The Lord of the Rings: The Return of the King,2003,9.0,2100000,0 days 03:21:00,Action Epic,2000-e
6,6,Schindler's List,1993,9.0,1500000,0 days 03:15:00,Docudrama,1990-e
7,7,Pulp Fiction,1994,8.9,2300000,0 days 02:34:00,Dark Comedy,1990-e
8,8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2100000,0 days 02:58:00,Action Epic,2000-e
9,9,"The Good, the Bad and the Ugly",1966,8.8,856000,0 days 02:41:00,Adventure Epic,1960-e
10,10,Forrest Gump,1994,8.8,2400000,0 days 02:22:00,Epic,1990-e
11,11,The Lord of the Rings: The Two Towers,2002,8.8,1900000,0 days 02:59:00,Action Epic,2000-e
12,12,Fight Club,1999,8.8,2500000,0 days 02:19:00,Psychological Drama,1990-e
13,13,Inception,2010,8.8,2700000,0 days 02:28:00,Action Epic,2010-e
14,14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1400000,0 days 02:04:00,Action Epic,1980-e
15,15,The Matrix,1999,8.7,2200000,0 days 02:16:00,Action Epic,1990-e
16,16,Goodfellas,1990,8.7,1300000,0 days 02:25:00,Docudrama,1990-e
17,17,Interstellar,2014,8.7,2400000,0 days 02:49:00,Adventure Epic,2010-e
18,18,One Flew Over the Cuckoo's Nest,1975,8.7,1100000,0 days 02:13:00,Medical Drama,1970-e
19,19,Seven,1995,8.6,1900000,0 days 02:07:00,Cop Drama,1990-e
20,20,It's a Wonderful Life,1946,8.6,529000,0 days 02:10:00,Feel-Good Romance,1940-e
21,21,The Silence of the Lambs,1991,8.6,1600000,0 days 01:58:00,Police Procedural,1990-e
22,22,Shichinin no samurai,1954,8.6,386000,0 days 03:27:00,Action Epic,1950-e
23,23,Saving Private Ryan,1998,8.6,1600000,0 days 02:49:00,Epic,1990-e
24,24,Cidade de Deus,2002,8.6,839000,0 days 02:10:00,Caper,2000-e
25,25,The Green Mile,1999,8.6,1500000,0 days 03:09:00,Period Drama,1990-e
26,26,Het leven is mooi,1997,8.6,780000,0 days 01:56:00,Period Drama,1990-e
27,27,Terminator 2: Judgment Day,1991,8.6,1200000,0 days 02:17:00,Action Epic,1990-e
28,28,Star Wars: Episode IV: A New Hope,1977,8.6,1500000,0 days 02:01:00,Action Epic,1970-e
29,29,Back to the Future,1985,8.5,1400000,0 days 01:56:00,High-Concept Comedy,1980-e
30,30,Spirited Away: De reis van Chihiro,2001,8.6,913000,0 days 02:04:00,Anime,2000-e
31,31,The Pianist,2002,8.5,970000,0 days 02:30:00,Docudrama,2000-e
32,32,Gladiator,2000,8.5,1800000,0 days 02:35:00,Action Epic,2000-e
33,33,Gisaengchung,2019,8.5,1100000,0 days 02:12:00,Dark Comedy,2010-e
34,34,Psycho,1960,8.5,754000,0 days 01:49:00,Dark Comedy,1960-e
35,35,The Lion King,1994,8.5,1200000,0 days 01:28:00,Animal Adventure,1990-e
36,36,Grave of the Fireflies,1988,8.5,351000,0 days 01:28:00,Adult Animation,1980-e
37,37,The Departed,2006,8.5,1500000,0 days 02:31:00,Cop Drama,2000-e
38,38,Whiplash,2014,8.5,1100000,0 days 01:46:00,Psychological Drama,2010-e
39,39,Seppuku,1962,8.6,80000,0 days 02:13:00,Period Drama,1960-e
40,40,The Prestige,2006,8.5,1500000,0 days 02:10:00,Period Drama,2000-e
41,41,American History X,1998,8.5,1200000,0 days 01:59:00,Prison Drama,1990-e
42,42,Léon,1994,8.5,1300000,0 days 01:50:00,Gangster,1990-e
43,43,Spider-Man: Across the Spider-Verse,2023,8.5,459000,0 days 02:20:00,Computer Animation,2020-e
